New York, 2, 5, 7, 10, 8, 6, 4, 5, 7, 9, 8, 6, 7, 5, 8, 10, 12, 11, 9, 8, 6, 5, 4, 7, 8, 9, 10, 8, 6, 5
Los Angeles, 18, 19, 20, 21, 20, 19, 18, 19, 20, 21, 22, 21, 20, 19, 18, 19, 20, 21, 22, 22, 21, 20, 19, 18, 19, 20, 21, 22, 21, 20
Chicago, -5, -4, -3, -2, -1, 0, 1, 2, 1, 0, -1, -2, -3, -4, -5, -4, -3, -2, -1, 0, 1, 2, 3, 4, 3, 2, 1, 0, -1, -2
Miami, 24, 25, 26, 27, 28, 29, 30, 29, 28, 27, 26, 25, 24, 25, 26, 27, 28, 29, 30, 29, 28, 27, 26, 25, 24, 25, 26, 27, 28, 29
London, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 5, 6, 7, 8, 9, 10, 9, 8, 7, 6, 5, 4, 5, 6, 7, 8, 9
Tokyo, 8, 9, 10, 11, 12, 13, 14, 13, 12, 11, 10, 9, 8, 9, 10, 11, 12, 13, 14, 13, 12, 11, 10, 9, 8, 9, 10, 11, 12, 13
Cairo, 20, 21, 22, 23, 24, 25, 26, 25, 24, 23, 22, 21, 20, 21, 22, 23, 24, 25, 26, 25, 24, 23, 22, 21, 20, 21, 22, 23, 24, 25
Sydney, 16, 17, 18, 19, 20, 21, 22, 21, 20, 19, 18, 17, 16, 17, 18, 19, 20, 21, 22, 21, 20, 19, 18, 17, 16, 17, 18, 19, 20, 21
Moscow, -8, -7, -6, -5, -4, -3, -2, -3, -4, -5, -6, -7, -8, -7, -6, -5, -4, -3, -2, -3, -4, -5, -6, -7, -8, -7, -6, -5, -4, -3
Rio de Janeiro, 26, 27, 28, 29, 30, 31, 32, 31, 30, 29, 28, 27, 26, 27, 28, 29, 30, 31, 32, 31, 30, 29, 28, 27, 26, 27, 28, 29, 30, 31
